p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.51,0.1,0.462891,-0.037109,2000000.0,1.0,3.0,4.0,0.462891,-0.037109,2000000.0,1.0,3.0,4.0, [-0.041394 1表 1裏 1目 1～1局] [-0.040684 2表 2裏 2目 1～1局] [-0.040546 3表 3裏 3目 1～1局] [-0.037109 1表 3裏 4目 2～5局]
0.52,0.1,0.4685795,-0.03142050000000002,2000000.0,4.0,4.0,4.0,0.4685795,-0.03142050000000002,2000000.0,4.0,4.0,4.0, [-0.031492 1表 1裏 1目 1～1局] [-0.031489 2表 2裏 2目 1～1局] [-0.031421 4表 4裏 4目 1～1局]
0.53,0.1,0.488434,-0.01156600000000002,2000000.0,3.0,5.0,6.0,0.488434,-0.01156600000000002,2000000.0,3.0,5.0,6.0, [-0.022882 1表 1裏 1目 1～1局] [-0.012126 3表 4裏 5目 2～3局] [-0.011566 3表 5裏 6目 2～3局]
0.54,0.1,0.491199,-0.008801000000000003,2000000.0,3.0,4.0,5.0,0.491199,-0.008801000000000003,2000000.0,3.0,4.0,5.0, [-0.014620 1表 1裏 1目 1～1局] [-0.013894 2表 2裏 2目 1～1局] [-0.008801 3表 4裏 5目 2～3局]
0.55,0.1,0.4954135,-0.004586499999999993,2000000.0,3.0,3.0,3.0,0.4954135,-0.004586499999999993,2000000.0,3.0,3.0,3.0, [-0.004688 1表 1裏 1目 1～1局] [-0.004586 3表 3裏 3目 1～1局]
0.56,0.1,0.5035135,0.0035134999999999472,2000000.0,3.0,3.0,3.0,0.5035135,0.0035134999999999472,2000000.0,3.0,3.0,3.0, [0.003608 1表 1裏 1目 1～1局] [0.003513 3表 3裏 3目 1～1局]
0.57,0.1,0.512846,0.012846000000000024,2000000.0,2.0,2.0,2.0,0.512846,0.012846000000000024,2000000.0,2.0,2.0,2.0, [0.013246 1表 1裏 1目 1～1局] [0.012846 2表 2裏 2目 1～1局]
0.58,0.1,0.5216345,0.0216345,2000000.0,2.0,2.0,2.0,0.5216345,0.0216345,2000000.0,2.0,2.0,2.0, [0.022399 1表 1裏 1目 1～1局] [0.021635 2表 2裏 2目 1～1局]
0.59,0.1,0.4794675,-0.02053250000000001,2000000.0,1.0,1.0,2.0,0.4794675,-0.02053250000000001,2000000.0,1.0,1.0,2.0, [0.030570 1表 1裏 1目 1～1局] [-0.020533 1表 1裏 2目 2～3局]
0.6,0.1,0.4855085,-0.01449149999999999,2000000.0,1.0,1.0,2.0,0.4855085,-0.01449149999999999,2000000.0,1.0,1.0,2.0, [0.040053 1表 1裏 1目 1～1局] [-0.014491 1表 1裏 2目 2～3局]
0.61,0.1,0.489251,-0.010749000000000009,2000000.0,1.0,1.0,2.0,0.489251,-0.010749000000000009,2000000.0,1.0,1.0,2.0, [0.049490 1表 1裏 1目 1～1局] [-0.010749 1表 1裏 2目 2～3局]
0.62,0.1,0.495244,-0.0047559999999999825,2000000.0,1.0,1.0,2.0,0.495244,-0.0047559999999999825,2000000.0,1.0,1.0,2.0, [0.058207 1表 1裏 1目 1～1局] [-0.004756 1表 1裏 2目 2～3局]
0.63,0.1,0.4999175,-8.249999999998536e-05,2000000.0,1.0,1.0,2.0,0.4999175,-8.249999999998536e-05,2000000.0,1.0,1.0,2.0, [0.066712 1表 1裏 1目 1～1局] [-0.000082 1表 1裏 2目 2～3局]
0.64,0.1,0.5048945,0.004894500000000024,2000000.0,1.0,1.0,2.0,0.5048945,0.004894500000000024,2000000.0,1.0,1.0,2.0, [0.075086 1表 1裏 1目 1～1局] [0.004895 1表 1裏 2目 2～3局]
0.65,0.1,0.510274,0.010274000000000005,2000000.0,1.0,1.0,2.0,0.510274,0.010274000000000005,2000000.0,1.0,1.0,2.0, [0.084924 1表 1裏 1目 1～1局] [0.010274 1表 1裏 2目 2～3局]
0.66,0.1,0.5150335,0.015033500000000033,2000000.0,1.0,1.0,2.0,0.5150335,0.015033500000000033,2000000.0,1.0,1.0,2.0, [0.093715 1表 1裏 1目 1～1局] [0.015034 1表 1裏 2目 2～3局]
0.67,0.1,0.5202265,0.020226500000000036,2000000.0,1.0,1.0,2.0,0.5202265,0.020226500000000036,2000000.0,1.0,1.0,2.0, [0.103289 1表 1裏 1目 1～1局] [0.020227 1表 1裏 2目 2～3局]
0.68,0.1,0.5267085,0.026708500000000024,2000000.0,1.0,1.0,2.0,0.5267085,0.026708500000000024,2000000.0,1.0,1.0,2.0, [0.111800 1表 1裏 1目 1～1局] [0.026709 1表 1裏 2目 2～3局]
0.69,0.1,0.531923,0.031923000000000035,2000000.0,1.0,1.0,2.0,0.531923,0.031923000000000035,2000000.0,1.0,1.0,2.0, [0.120533 1表 1裏 1目 1～1局] [0.031923 1表 1裏 2目 2～3局]
0.7,0.1,0.5379835,0.03798349999999995,2000000.0,1.0,1.0,2.0,0.5379835,0.03798349999999995,2000000.0,1.0,1.0,2.0, [0.129743 1表 1裏 1目 1～1局] [0.037983 1表 1裏 2目 2～3局]
0.71,0.1,0.5443025,0.04430250000000002,2000000.0,1.0,1.0,2.0,0.5443025,0.04430250000000002,2000000.0,1.0,1.0,2.0, [0.138782 1表 1裏 1目 1～1局] [0.044303 1表 1裏 2目 2～3局]
0.72,0.1,0.5497285,0.04972849999999995,2000000.0,1.0,1.0,2.0,0.5497285,0.04972849999999995,2000000.0,1.0,1.0,2.0, [0.148370 1表 1裏 1目 1～1局] [0.049728 1表 1裏 2目 2～3局]
0.73,0.1,0.5570575,0.05705749999999998,2000000.0,1.0,1.0,2.0,0.5570575,0.05705749999999998,2000000.0,1.0,1.0,2.0, [0.157054 1表 1裏 1目 1～1局] [0.057057 1表 1裏 2目 2～3局]
0.74,0.1,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0, [0.166009 1表 1裏 1目 1～1局] [0.063070 1表 1裏 2目 2～3局]
0.75,0.1,0.5698905,0.06989049999999997,2000000.0,1.0,1.0,2.0,0.5698905,0.06989049999999997,2000000.0,1.0,1.0,2.0, [0.174837 1表 1裏 1目 1～1局] [0.069890 1表 1裏 2目 2～3局]
0.76,0.1,0.577592,0.077592,2000000.0,1.0,1.0,2.0,0.577592,0.077592,2000000.0,1.0,1.0,2.0, [0.184173 1表 1裏 1目 1～1局] [0.077592 1表 1裏 2目 2～3局]
0.77,0.1,0.692599,0.1925989999999999,2000000.0,1.0,1.0,1.0,0.692599,0.1925989999999999,2000000.0,1.0,1.0,1.0, [0.192599 1表 1裏 1目 1～1局]
0.78,0.1,0.7024535,0.2024534999999999,2000000.0,1.0,1.0,1.0,0.7024535,0.2024534999999999,2000000.0,1.0,1.0,1.0, [0.202453 1表 1裏 1目 1～1局]
0.79,0.1,0.7111435,0.2111435,2000000.0,1.0,1.0,1.0,0.7111435,0.2111435,2000000.0,1.0,1.0,1.0, [0.211144 1表 1裏 1目 1～1局]
0.8,0.1,0.7202525,0.2202524999999999,2000000.0,1.0,1.0,1.0,0.7202525,0.2202524999999999,2000000.0,1.0,1.0,1.0, [0.220252 1表 1裏 1目 1～1局]
0.81,0.1,0.729086,0.229086,2000000.0,1.0,1.0,1.0,0.729086,0.229086,2000000.0,1.0,1.0,1.0, [0.229086 1表 1裏 1目 1～1局]
0.82,0.1,0.7384175,0.2384174999999999,2000000.0,1.0,1.0,1.0,0.7384175,0.2384174999999999,2000000.0,1.0,1.0,1.0, [0.238417 1表 1裏 1目 1～1局]
0.83,0.1,0.746887,0.2468869999999999,2000000.0,1.0,1.0,1.0,0.746887,0.2468869999999999,2000000.0,1.0,1.0,1.0, [0.246887 1表 1裏 1目 1～1局]
0.84,0.1,0.7560705,0.2560705,2000000.0,1.0,1.0,1.0,0.7560705,0.2560705,2000000.0,1.0,1.0,1.0, [0.256070 1表 1裏 1目 1～1局]
0.85,0.1,0.7646935,0.2646935,2000000.0,1.0,1.0,1.0,0.7646935,0.2646935,2000000.0,1.0,1.0,1.0, [0.264694 1表 1裏 1目 1～1局]
0.86,0.1,0.77425,0.27425,2000000.0,1.0,1.0,1.0,0.77425,0.27425,2000000.0,1.0,1.0,1.0, [0.274250 1表 1裏 1目 1～1局]
0.87,0.1,0.782981,0.282981,2000000.0,1.0,1.0,1.0,0.782981,0.282981,2000000.0,1.0,1.0,1.0, [0.282981 1表 1裏 1目 1～1局]
0.88,0.1,0.7920795,0.2920795,2000000.0,1.0,1.0,1.0,0.7920795,0.2920795,2000000.0,1.0,1.0,1.0, [0.292080 1表 1裏 1目 1～1局]
0.89,0.1,0.8010215,0.3010215,2000000.0,1.0,1.0,1.0,0.8010215,0.3010215,2000000.0,1.0,1.0,1.0, [0.301022 1表 1裏 1目 1～1局]
0.9,0.1,0.8100415,0.3100414999999999,2000000.0,1.0,1.0,1.0,0.8100415,0.3100414999999999,2000000.0,1.0,1.0,1.0, [0.310041 1表 1裏 1目 1～1局]
0.91,0.1,0.8199145,0.3199145,2000000.0,1.0,1.0,1.0,0.8199145,0.3199145,2000000.0,1.0,1.0,1.0, [0.319914 1表 1裏 1目 1～1局]
0.92,0.1,0.828222,0.328222,2000000.0,1.0,1.0,1.0,0.828222,0.328222,2000000.0,1.0,1.0,1.0, [0.328222 1表 1裏 1目 1～1局]
0.93,0.1,0.836797,0.336797,2000000.0,1.0,1.0,1.0,0.836797,0.336797,2000000.0,1.0,1.0,1.0, [0.336797 1表 1裏 1目 1～1局]
0.94,0.1,0.8457095,0.3457095,2000000.0,1.0,1.0,1.0,0.8457095,0.3457095,2000000.0,1.0,1.0,1.0, [0.345710 1表 1裏 1目 1～1局]
0.95,0.1,0.855139,0.355139,2000000.0,1.0,1.0,1.0,0.855139,0.355139,2000000.0,1.0,1.0,1.0, [0.355139 1表 1裏 1目 1～1局]
0.96,0.1,0.864071,0.364071,2000000.0,1.0,1.0,1.0,0.864071,0.364071,2000000.0,1.0,1.0,1.0, [0.364071 1表 1裏 1目 1～1局]
0.97,0.1,0.8733195,0.3733195,2000000.0,1.0,1.0,1.0,0.8733195,0.3733195,2000000.0,1.0,1.0,1.0, [0.373320 1表 1裏 1目 1～1局]
0.98,0.1,0.881801,0.3818009999999999,2000000.0,1.0,1.0,1.0,0.881801,0.3818009999999999,2000000.0,1.0,1.0,1.0, [0.381801 1表 1裏 1目 1～1局]
0.99,0.1,0.891184,0.391184,2000000.0,1.0,1.0,1.0,0.891184,0.391184,2000000.0,1.0,1.0,1.0, [0.391184 1表 1裏 1目 1～1局]
