p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.63,0.1,0.4999175,-8.249999999998536e-05,2000000.0,1.0,1.0,2.0,0.4999175,-8.249999999998536e-05,2000000.0,1.0,1.0,2.0, [0.066712 1表 1裏 1目 1～1局] [-0.000082 1表 1裏 2目 2～3局]
0.64,0.1,0.5048945,0.0048945,2000000.0,1.0,1.0,2.0,0.5048945,0.0048945,2000000.0,1.0,1.0,2.0, [0.075086 1表 1裏 1目 1～1局] [0.004895 1表 1裏 2目 2～3局]
0.65,0.1,0.510274,0.010274,2000000.0,1.0,1.0,2.0,0.510274,0.010274,2000000.0,1.0,1.0,2.0, [0.084924 1表 1裏 1目 1～1局] [0.010274 1表 1裏 2目 2～3局]
0.66,0.1,0.5150335,0.0150335,2000000.0,1.0,1.0,2.0,0.5150335,0.0150335,2000000.0,1.0,1.0,2.0, [0.093715 1表 1裏 1目 1～1局] [0.015034 1表 1裏 2目 2～3局]
0.67,0.1,0.5202265,0.0202265,2000000.0,1.0,1.0,2.0,0.5202265,0.0202265,2000000.0,1.0,1.0,2.0, [0.103289 1表 1裏 1目 1～1局] [0.020227 1表 1裏 2目 2～3局]
0.68,0.1,0.5267085,0.0267085,2000000.0,1.0,1.0,2.0,0.5267085,0.0267085,2000000.0,1.0,1.0,2.0, [0.111800 1表 1裏 1目 1～1局] [0.026709 1表 1裏 2目 2～3局]
0.69,0.1,0.531923,0.031923,2000000.0,1.0,1.0,2.0,0.531923,0.031923,2000000.0,1.0,1.0,2.0, [0.120533 1表 1裏 1目 1～1局] [0.031923 1表 1裏 2目 2～3局]
0.7,0.1,0.5379835,0.0379834999999999,2000000.0,1.0,1.0,2.0,0.5379835,0.0379834999999999,2000000.0,1.0,1.0,2.0, [0.129743 1表 1裏 1目 1～1局] [0.037983 1表 1裏 2目 2～3局]
0.71,0.1,0.5443025,0.0443025,2000000.0,1.0,1.0,2.0,0.5443025,0.0443025,2000000.0,1.0,1.0,2.0, [0.138782 1表 1裏 1目 1～1局] [0.044303 1表 1裏 2目 2～3局]
0.72,0.1,0.5497285,0.0497284999999999,2000000.0,1.0,1.0,2.0,0.5497285,0.0497284999999999,2000000.0,1.0,1.0,2.0, [0.148370 1表 1裏 1目 1～1局] [0.049728 1表 1裏 2目 2～3局]
0.73,0.1,0.5570575,0.0570574999999999,2000000.0,1.0,1.0,2.0,0.5570575,0.0570574999999999,2000000.0,1.0,1.0,2.0, [0.157054 1表 1裏 1目 1～1局] [0.057057 1表 1裏 2目 2～3局]
0.74,0.1,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0, [0.166009 1表 1裏 1目 1～1局] [0.063070 1表 1裏 2目 2～3局]
0.75,0.1,0.5698905,0.0698904999999999,2000000.0,1.0,1.0,2.0,0.5698905,0.0698904999999999,2000000.0,1.0,1.0,2.0, [0.174837 1表 1裏 1目 1～1局] [0.069890 1表 1裏 2目 2～3局]
0.76,0.1,0.577592,0.077592,2000000.0,1.0,1.0,2.0,0.577592,0.077592,2000000.0,1.0,1.0,2.0, [0.184173 1表 1裏 1目 1～1局] [0.077592 1表 1裏 2目 2～3局]
0.77,0.1,0.584601,0.084601,2000000.0,1.0,1.0,2.0,0.584601,0.084601,2000000.0,1.0,1.0,2.0, [0.192599 1表 1裏 1目 1～1局] [0.084601 1表 1裏 2目 2～3局]
0.78,0.1,0.591726,0.0917259999999999,2000000.0,1.0,1.0,2.0,0.591726,0.0917259999999999,2000000.0,1.0,1.0,2.0, [0.202453 1表 1裏 1目 1～1局] [0.091726 1表 1裏 2目 2～3局]
0.79,0.1,0.599171,0.099171,2000000.0,1.0,1.0,2.0,0.599171,0.099171,2000000.0,1.0,1.0,2.0, [0.211144 1表 1裏 1目 1～1局] [0.099171 1表 1裏 2目 2～3局]
0.8,0.1,0.6073575,0.1073575,2000000.0,1.0,1.0,2.0,0.6073575,0.1073575,2000000.0,1.0,1.0,2.0, [0.220252 1表 1裏 1目 1～1局] [0.107357 1表 1裏 2目 2～3局]
