p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.6,0.45,alternating,2000,0.5,0.0,2,5,7,0.5,0.0,2,5,7, [-0.087500 1表 1裏 1目 1～2局 2000試] [-0.045000 1表 1裏 2目 2～6局 2000試] [-0.024000 1表 1裏 3目 3～10局 2000試] [-0.022500 1表 2裏 3目 2～10局 2000試] [-0.022000 1表 1裏 4目 4～13局 2000試] [-0.018000 1表 2裏 4目 3～13局 2000試] [-0.017000 1表 3裏 4目 2～13局 2000試] [0.004000 2表 3裏 4目 2～6局 2000試] [-0.002000 1表 4裏 6目 3～20局 2000試] [0.001500 3表 4裏 7目 2～10局 2000試] [0.000000 2表 5裏 7目 2～13局 2000試]
0.61,0.45,alternating,2000,0.4995,-0.0005,2,4,6,0.4995,-0.0005,2,4,6, [-0.068500 1表 1裏 1目 1～2局 2000試] [-0.056000 1表 1裏 2目 2～6局 2000試] [-0.051000 2表 2裏 2目 1～2局 2000試] [-0.020000 1表 1裏 3目 3～10局 2000試] [-0.006000 1表 2裏 4目 3～13局 2000試] [-0.001000 1表 2裏 5目 3～17局 2000試] [-0.000500 2表 4裏 6目 2～10局 2000試]
0.62,0.45,alternating,2000,0.5,0.0,1,2,5,0.5,0.0,1,2,5, [-0.040000 1表 1裏 1目 1～2局 2000試] [-0.017500 1表 1裏 3目 3～10局 2000試] [0.002000 1表 1裏 4目 4～13局 2000試] [0.000000 1表 2裏 5目 3～17局 2000試]
0.63,0.45,alternating,2000,0.5005,0.0004999999999999,2,6,7,0.5005,0.0004999999999999,2,6,7, [-0.066000 1表 1裏 1目 1～2局 2000試] [-0.049000 1表 1裏 2目 2～6局 2000試] [-0.006000 1表 1裏 3目 3～10局 2000試] [-0.001000 1表 2裏 4目 3～13局 2000試] [0.000500 2表 6裏 7目 2～13局 2000試]
0.64,0.45,alternating,2000,0.4995,-0.0005000000000000004,1,4,12,0.4995,-0.0005000000000000004,1,4,12, [-0.059500 1表 1裏 1目 1～2局 2000試] [-0.033000 1表 1裏 2目 2～6局 2000試] [-0.017500 1表 2裏 3目 2～10局 2000試] [-0.011500 1表 1裏 4目 4～13局 2000試] [0.001000 1表 2裏 4目 3～13局 2000試] [-0.000500 1表 4裏 12目 5～42局 2000試]
0.65,0.45,alternating,2000,0.5005,0.0004999999999999449,4,5,9,0.5005,0.0004999999999999449,4,5,9, [-0.045500 1表 1裏 1目 1～2局 2000試] [-0.019000 1表 1裏 2目 2～6局 2000試] [-0.016500 1表 2裏 3目 2～10局 2000試] [-0.002500 1表 3裏 4目 2～13局 2000試] [0.001500 2表 6裏 8目 2～13局 2000試] [0.000500 4表 5裏 9目 2～10局 2000試]
0.66,0.45,alternating,2000,0.5005,0.0004999999999999449,1,5,8,0.5005,0.0004999999999999449,1,5,8, [-0.046000 1表 1裏 1目 1～2局 2000試] [-0.004500 1表 1裏 2目 2～6局 2000試] [0.001500 1表 2裏 4目 3～13局 2000試] [0.000500 1表 5裏 8目 3～28局 2000試]
0.67,0.45,alternating,2000,0.5,0.0,1,1,4,0.5,0.0,1,1,4, [-0.054000 1表 1裏 1目 1～2局 2000試] [-0.025500 1表 1裏 2目 2～6局 2000試] [-0.008500 1表 2裏 3目 2～10局 2000試] [0.000000 1表 1裏 4目 4～13局 2000試]
0.68,0.45,alternating,2000,0.4995,-0.0005,1,3,4,0.4995,-0.0005,1,3,4, [-0.039000 1表 1裏 1目 1～2局 2000試] [-0.029500 1表 1裏 2目 2～6局 2000試] [-0.022000 1表 1裏 3目 3～10局 2000試] [-0.007500 1表 2裏 3目 2～10局 2000試] [-0.001500 1表 2裏 4目 3～13局 2000試] [-0.000500 1表 3裏 4目 2～13局 2000試]
0.69,0.45,alternating,2000,0.4995,-0.0005000000000000004,3,4,9,0.4995,-0.0005000000000000004,3,4,9, [-0.064000 1表 1裏 1目 1～2局 2000試] [-0.020000 1表 1裏 2目 2～6局 2000試] [-0.018500 1表 1裏 3目 3～10局 2000試] [-0.017500 1表 2裏 4目 3～13局 2000試] [-0.002000 1表 1裏 5目 5～17局 2000試] [-0.001000 1表 2裏 8目 5～28局 2000試] [-0.000500 3表 4裏 9目 3～10局 2000試]
