turn_system_name,failure_rate,p,span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate,a_victory_rate_by_duet,b_victory_rate_by_duet,unfair_point
alternating,0.05,0.57,9,5,3,0.4975362588129818,0.4960995521740665,0.0063641890129438,0.5007229543375054,0.4992770456624867,1.045325948247091e-06
alternating,0.05,0.58,14,7,6,0.5017964638807351,0.4917535601676437,0.0064499759516105,0.5050540503598193,0.4949459496401698,5.108685007928953e-05
alternating,0.05,0.59,4,2,1,0.4942341048149214,0.5043057268622668,0.0014601683228065,0.4949568250920777,0.505043174907917,5.0867226303739975e-05
alternating,0.05,0.6,14,5,4,0.4965043482048699,0.4965655784189912,0.0069300733761124,0.4999691712474086,0.5000308287525648,1.900823971042637e-09
alternating,0.05,0.61,6,5,2,0.4975792011822049,0.4998567289451919,0.0025640698726009,0.4988583087423478,0.50114169125765,2.606917855593752e-06
alternating,0.05,0.62,5,3,2,0.5002887601957324,0.4969764102613414,0.0027348295429225,0.5016607167444087,0.4983392832555876,5.515960210331268e-06
alternating,0.05,0.63,7,5,3,0.503109176010115,0.4939767605063916,0.0029140634834884,0.5045795528596181,0.4954204471403769,4.194460878811813e-05
alternating,0.05,0.64,5,3,2,0.5060557609294911,0.4908421924803452,0.0031020465901598,0.507630454249156,0.4923695457508401,0.0001164476640969
alternating,0.05,0.65,2,2,1,0.4908799328124994,0.5053007546874994,0.0038193124999997,0.4927619446672913,0.507238055332707,0.0001047788899986
alternating,0.05,0.66,2,2,1,0.4992334321999998,0.4968290277999999,0.00393754,0.501206954632142,0.4987930453678576,2.913478968099074e-06
alternating,0.05,0.67,8,6,2,0.49139871688142,0.5059003765073656,0.0027009066112083,0.4927295333355435,0.5072704666644503,0.0001057193710378
alternating,0.05,0.68,4,3,1,0.4934939555600903,0.5035555675247709,0.0029504769151333,0.4949543068163978,0.5050456931835966,5.091803940604241e-05
alternating,0.05,0.69,14,13,4,0.495757043267387,0.5010280962782627,0.0032148604543449,0.4973559733177384,0.5026440266822562,1.398175419299353e-05
alternating,0.05,0.7,4,3,1,0.4982028618245518,0.4982895019417298,0.0035076362337141,0.4999565274555367,0.5000434725444589,3.779724243845317e-09
alternating,0.05,0.71,13,10,4,0.5008618306339073,0.4953248469792743,0.003813322386815,0.5027790893911048,0.4972209106088917,1.5446675687521933e-05
alternating,0.05,0.72,7,5,2,0.5037507792975975,0.4921034902223767,0.0041457304800209,0.5058478883064035,0.4941521116935915,6.839559528839959e-05
alternating,0.05,0.73,3,3,1,0.49187333878513,0.5028952200120168,0.0052314412028508,0.4944600776082949,0.5055399223917028,6.1381480212205e-05
alternating,0.05,0.74,3,3,1,0.49998379511875,0.4944929329471749,0.0055232719340716,0.5027606790669955,0.497239320933001,1.5242697821913691e-05
alternating,0.05,0.75,9,8,2,0.4950140507295207,0.5007525260855321,0.0042334231849385,0.4971185639839537,0.5028814360160375,1.660534702908689e-05
alternating,0.05,0.76,9,7,2,0.4976865471485539,0.4976094324885875,0.0047040203628483,0.500038739561665,0.4999612604383247,3.0015072767886836e-09
alternating,0.05,0.77,8,6,2,0.5225622408958276,0.4712405301999553,0.0061972289042072,0.5258208732097183,0.4741791267902717,0.0013334349866252
alternating,0.05,0.78,13,11,3,0.5040073356431906,0.4902077170326772,0.0057849473241211,0.5069399565885475,0.4930600434114412,9.632599490200447e-05
alternating,0.05,0.79,15,14,3,0.507727711781696,0.485869603532916,0.0064026846853769,0.5109994803286316,0.4890005196713571,0.0002419771350001
alternating,0.05,0.8,7,7,2,0.5089997448597121,0.4832170486621802,0.0077832064781025,0.5129924711846543,0.4870075288153404,0.0003376086149682
alternating,0.05,0.81,5,5,1,0.489664041311593,0.5025223313998761,0.0078136272885214,0.4935202244044367,0.5064797755955538,8.397498353759134e-05
alternating,0.05,0.82,7,5,2,0.5513333043015728,0.4396447654846359,0.0090219302137879,0.5563526793489126,0.443647320651084,0.0063512489396031
